S/N,APPLICANT NAME,CERTIFICATE HOLDER,EQUIPMENT NAME,MODELS,MANUFACTURER
1,1401 Trading Ltd.,1401 Trading Ltd,Xiaomi Phablet,MiMax(2016001),Xiaomi Communications Co. Ltd
2,3D DIGITAL LTD,SCHNEIDER ELECTRIC,ELECTRIC VEHICLE WALL-MOUNTED AND FLOOR STANDING CHARGING SYSTEM,EVF2S22P04R,SCHNEIDER ELECTRIC
3,3D Digital Technologies,Canon Inc.,Canon Photo Storage,CS100,Canon Inc.
4,3D Digital Technologies,Canon Inc.,Compact Digital Camera,DS1264010203 (EOS 6D),Canon Inc.
5,3D Digital Technologies,Canon Inc.,Digital Camera,"DS126411 (EOS 70D),",Canon Inc.
6,3D Digital Technologies,Canon Inc.,Compact Digital Camera,DS126461 (EOS7D Mark II),Canon Inc.
7,3D Digital Technologies,Canon Inc.,Compact Digital Camera,DS126481 (EOS 760D(W))DS126481,Canon Inc.
8,3D Digital Technologies,Canon Inc.,Compact Digital Camera,DS126561 (EOS 1D 1DX Mark II (G)),Canon Inc.
9,3D Digital Technologies,Canon Inc.,Compact Digital Camera,DS126571 (EOS 750D(W)),Canon Inc.
10,3D Digital Technologies,Canon Inc.,Compact Digital Camera,DS126591 (EOS 80D(W)),Canon Inc.
11,3D Digital Technologies,Canon Inc.,Compact Digital Camera,DS126601 (EOS 5D Mark IV (WG)),Canon Inc.
12,3D Digital Technologies,Canon Inc.,Digital Camera,DS126621 (EOS 1300D),Canon Inc.
13,3D Digital Technologies,Canon Inc.,Compact Digital Camera,DS126631 (EOS 6D MARK II).,Canon Inc.
14,3D Digital Technologies,Canon Inc.,Compact Digital Camera,DS126651 (EOS 77D),Canon Inc.
15,3D Digital Technologies,Canon Inc.,Compact Digital Camera,DS126661 (EOS 800D),Canon Inc.
16,3D Digital Technologies,Canon Inc.,Compact Digital Camera,DS126671(EOS 200D),Canon Inc.
17,3D Digital Technologies,Canon Inc.,Canon Digital Camera,DS126701(EOS 4000D),Canon Inc.
18,3D Digital Technologies,Canon Inc.,Canon Digital Camera,DS126741( EOS 2000D),Canon Inc.
19,3D Digital Technologies,Canon Inc.,Canon Digital Camera,DS401121,Canon Inc.
20,3D Digital Technologies,Canon Inc.,Speedlite Flash,DS401122 (SPEEDLITE 430 EX III),Canon Inc.
21,3D Digital Technologies,Canon Inc.,Compact Digital Camera,DS401131 (SPEEDLITE 600EX II-RT),Canon Inc.
22,3D Digital Technologies,Canon Inc.,Compact Digital Camera,EOS C100 Mark II,Canon Inc.
23,3D Digital Technologies,Canon Inc.,Laser Beam Printer,F169600 ( i-SENSYS LBP613Cdw),Canon Inc.
24,3D Digital Technologies,Canon Inc.,Multi-Function Printer,F170100 ( i-SENSYS MF633Cdw),Canon Inc.
