S/N,APPLICANT NAME,CERTIFICATE HOLDER,EQUIPMENT NAME,MODELS,MANUFACTURER
1,ALCATEL,ALCATEL,ALCATEL,OT 300,ALCATEL
2,ALCATEL,ALCATEL,ALCATEL,OT 303,ALCATEL
3,ALCATEL,ALCATEL,ALCATEL,OT 311,ALCATEL
4,ALCATEL,ALCATEL,ALCATEL,OT 320,ALCATEL
5,ALCATEL,ALCATEL,ALCATEL,OT 501,ALCATEL
6,ALCATEL,ALCATEL,ALCATEL,OT 701,ALCATEL
7,ALCATEL,ALCATEL,ALCATEL,OT 715,ALCATEL
8,AVVIO,AVVIO,AVVIO,C802P CDMA DESKTOP,AVVIO
9,AVVIO,AVVIO,AVVIO,G201 GSM DESKTOP,AVVIO
10,FLY,FLY,FLY,MX 200,FLY
11,FLY,FLY,FLY,MX 2040I,FLY
12,FLY,FLY,FLY,MX 300,FLY
13,FLY,FLY,FLY,SL 500I,FLY
14,FLY,FLY,FLY,SX210,FLY
15,FLY,FLY,FLY,V60,FLY
16,1401 TRADING LTD.,XIAOMI COMMUNICATIONS,MI GSM MOBILE PHONES,MI 4(2015215),XIAOMI COMMUNICATIONS CO. LTD
17,1401 TRADING LTD.,1401 TRADING LTD,LEAGOO SMART PHONE,KIICAA POWER,"SHENZHEN LEAGOO INTELLIGENCE CO., LIMITED"
18,1401 TRADING LTD.,1401 TRADING LTD,LEAGOO SMART PHONE,LEAGOO T5C,"SHENZHEN LEAGOO INTELLIGENCE CO., LIMITED"
19,1401 Trading Ltd.,Xiaomi Communications,Mi GSM Mobile Phones,MI 4(2015215),XIAOMI COMMUNICATIONS CO. LTD
20,1401 TRADING LTD.,1401 TRADING LTD,MI GSM MOBILE PHONES,MI 5 (2015105),XIAOMI COMMUNICATIONS CO. LTD
21,1401 TRADING LTD.,1401 TRADING LTD,CUBOT SMART PHONE,R9,SHENZHEN HUAFURUI THECHNOLOGY CO. LTD
22,1401 TRADING LTD.,1401 TRADING LTD,MI GSM MOBILE PHONES,RED MI NOTE 2(2015051),XIAOMI COMMUNICATIONS CO. LTD
23,1401 TRADING LTD.,1401 TRADING LTD,MI GSM MOBILE PHONES,RED MI NOTE 3(2015116),XIAOMI COMMUNICATIONS CO. LTD
24,1401 TRADING LTD.,XIAOMI COMMUNICATIONS,MI GSM MOBILE PHONES,"RED MI(22014818), MI 4I(2015015)",XIAOMI COMMUNICATIONS CO. LTD
25,1401 TRADING LTD.,1401 TRADING LTD,XIAOMI MOBILE PHONES,REDMI 4 (2016117),XIAOMI COMMUNICATIONS CO. LTD
26,1401 TRADING LTD.,1401 TRADING LTD,OUKITEL SMART PHONE,U22,"SHENZHEN YUNJI INTELLIGENT TECHNOLOGY CO., LTD.????"
27,3D DIGITAL TECHNOLOGIES,TCL COMMUNICATIONS LIMITED,GSM HANDHELD/MOBILE PHONE/GSM QUAD BAND MOBILE PHONE/GSM QUAD BAND,"4034F,7070Q,2008D, 2051D",TCL COMMUNICATIONS LIMITED
28,3D DIGITAL TECHNOLOGIES,TCT MOBILE EUROPE SAS,ALCATEL MOBILE PHONES,"5045D, 5056D, 4017D, 8050D, 9003X",TCT MOBILE EUROPE SAS
29,3D DIGITAL TECHNOLOGIES,TCL COMMUNICATIONS LIMITED,ALCATEL GSM PHONES,"9025Q,  5095K, 9001D, 6055K, 5010U, 1054D, 5012F, 5051D6070K, 5023F, 9015Q",TCL COMMUNICATIONS LIMITED
30,3WAY COMMUNICATIONS LTD.,SHENZHEN WELLSS TECHNOLOGY CO. LTD.,SEITI DUAL SIM GSM MOBILE PHONE,W200,SHENZHEN WELLS TECH. CO. LTD.
31,5M GLOBAL LLC,5M GLOBAL LLC,SMART PHONE,W-P861-03,WIKO SAS
32,5M GLOBAL LLC,WIKO SAS,SMART PHONE,W-V673-02,WIKO SAS
33,5M GLOBAL LLC,INVENTUS GROUP LTD,Smartphone,CT1,INVENTUS GROUP LTD
34,A3 & O WIRELESS LIMITED,HI TECH COMPUTER (HTC),HTC,MTEOR,HI TECH COMPUTER  ( HTC)
35,A3 & O WIRELESS LIMITED,HI TECH COMPUTER (HTC),HTC,P4350,HI TECH COMPUTER  ( HTC)
36,A3 & O WIRELESS LIMITED,HI TECH COMPUTER (HTC),HTC,S310,HI TECH COMPUTER  ( HTC)
37,A3 & O WIRELESS LIMITED,HI TECH COMPUTER (HTC),HTC,S620,HI TECH COMPUTER  ( HTC)
38,A3 & O WIRELESS LIMITED,HI TECH COMPUTER (HTC),HTC,TYTN,HI TECH COMPUTER  ( HTC)
39,AFRICAN PREPAID SERVICES NIGERIA LIMITED,AFRICAN PREPAID SERVICES NIGERIA LIMITED,SHARED PHONE,SPI009,AFRICAN PREPAID SERVICES NIGERIA LIMITED
40,AFRIFONE LIMITED,AFRIONE MOBILE,AFRIONE MOBILE PHONE,CHAMPION,AFRIONE MOBILE
